"drug_concept_id","count"
19077117,2384
19077129,29
19078080,262
19078097,7
19078101,46
19078187,79
19078399,108
19079498,39
19082891,53
19086888,14
19087090,29
19088167,37012
19089810,2
19092433,772
19093848,1788
19095164,18
19095309,139
19096740,497
19096752,108
19096774,2
19097664,2
19100759,600
19102106,110
19102171,210
19102490,12
19102491,144
19103311,1
19103593,8
19105070,1
19106160,35
19111620,840
19115051,38
19115123,56
19119253,145
19121242,287
19122209,86
19123585,1
19124099,29
19125471,1
19127432,37
19127433,371
19127434,167
19128151,8
19128974,247
19131791,538
19133750,9
19135812,69
19136066,13
19137042,53
19137056,3452
19137312,386
21029284,1
21031335,1596
21034662,11
21060528,97
21065771,80
21077643,147
21081251,377
21091527,1630
21091791,867
21091811,24
21107467,125
21109951,160
21124585,43
21126710,5885
21128469,66
21130969,135
21141332,1211
21153738,1
21159255,189
21161812,715
21166409,53
35132376,945
35135977,18
35158079,201
35202021,14639
35413459,239
35419380,87
35421264,152
35602717,276
35603400,127
35604068,115
35604509,557
35604657,18
35604680,5
35605522,12
35605661,10941
35605713,79
35605718,5014
35605895,1726
35606470,2
35781063,945
35798410,5
36249332,981
36249687,232
36249703,5101
36249709,730
36249712,10380
36249720,126
36249734,81418
36249736,1674
36249738,30983
36249739,99903
36278479,167
36278591,67
36279422,6
36282880,1258
36410557,2381
36782828,1
36787633,5
36813015,3
36879073,10
36885288,673
36885641,1754
36887702,188
36897208,111
40019687,69
40080090,6
40162841,30
40164892,118
40164916,3
40164922,256
40165636,536
40166035,146
40167554,5
40167843,124
40167849,867
40167852,211
40168220,246
40169269,517
40169281,908
40169285,2
40169766,2694
40173590,3
40173609,123
40173612,85
40174291,1
40174307,35
40174364,198
40174880,481
40174907,54
40175001,31
40175050,913
40175174,18
40175205,92
40175210,2295
40184187,2447
40184217,44
40220529,4
40220540,10
40220544,26
40220546,51
40220616,1
40222495,12
40223464,124
40224172,161
40225722,2
40228152,233
40230712,8
40231394,101
40231403,129
40234201,7716
40235487,48
40235491,22
40236897,50
40237822,3036
40238013,29
40239056,2
40239060,26
40239216,3211
40240664,25
40241170,109
40241186,32
40241331,570
40242675,15
40244266,226
40244464,1
40706257,19
40710593,535
40750638,502
40753445,3
40753446,2
40836102,121
40837362,95
40897140,512
40989613,3
40992339,139
41021081,169
41022931,328
41052884,797
41062685,53
41149408,4
41217728,4
41333484,2
41408259,9
41429243,66
41438621,7
41440865,3221
41441832,586
41449147,2388
41481149,554
41481646,265
41500854,808
41502217,3
42479243,251
42543916,2
42629082,15
42707627,16
42707640,5
42707642,1
42708168,142
42708516,335
42708574,14
42799331,4
42800034,27
42800046,40
42800463,1
42801289,26
42873430,2
42873636,899
42900252,13
42900584,16
42902761,20
42903271,11
42903460,283
42904177,30
42904285,85
42918062,81
42918064,54
42918171,44537
42918175,3994
42918178,54742
42918180,13843
42918203,101032
42918222,5390
42918436,25
42918557,14580
42918578,278
42918623,2481
42918687,34
42918823,17
42918925,8898
42918971,11693
42918992,10435
42919630,8324
42919678,15
42920042,1930
42920387,4196
42920392,2457
42920399,2924
42920520,333
42920571,48
42920654,28
42920773,5
42920774,23
42920874,79
42921092,264
42921254,315
42921390,26
42921449,2
42921872,666
42921874,801
42922161,6656
42922178,11381
42922399,4
42922686,493
42922767,20
42922817,98
42922894,7
42922959,9
42922975,80
42923049,276
42923914,1009
42924569,100
42925763,104
42928436,492
42931204,45
42931709,60
42931749,156
42935594,4
42935771,109
42935863,116
42935901,44
42936747,274
42939069,78
42939837,1951
42939995,51129
42940762,24
42941493,3729
42941511,617
42942973,39
42942980,89
42942982,235
42942984,80
42944066,1
42946788,2079
42946794,28612
42948459,63
